ο	ο articlem sg<br>(definite) the
πρέσβης	πρέσβης noun<br>(diplomacy) ambassador
επιτακτικός	επιτακτικός adjective<br>imperative, authoritative, mandatory
στάθμευση	στάθμευση noun<br>(automotive) parking
κοπή	κοπή noun<br>cutting, felling, chopping
τοκετός	τοκετός noun<br>confinement, lying-in, giving birth
οξυγόνο	οξυγόνο noun<br>(chemistry) oxygen
αιολικός	αιολικός adjective<br>related to the wind or energy generated from it<br>Aeolian (related to Aeolia or its people)
συνάπτω	συνάπτω verb<br>(transitive) join, attach, append<br>(transitive) contract, enter into, conclude (an agreement, marriage, etc)
αλεύρι	αλεύρι noun<br>flour (ground cereal grains, especially wheat)
εθνικισμός	εθνικισμός noun<br>nationalism
γενναίος	γενναίος adjective<br>brave, gallant<br>generous, lavish
ευαισθητοποίηση	ευαισθητοποίηση noun<br>sensitisation, sensitization
γερός	γερός adjective<br>(of people) strong, sturdy, able-bodied, robust, strapping (fit and healthy)<br>(by extension) strong, sturdy, tough, solid, (capable of producing or withstanding great physical force)<br>strong, able (impressive or good)<br>(of items) unbroken (not having been destroyed)<br>(of fruit and nuts) unspoiled, unspoilt (not rotten)
εκβιασμός	εκβιασμός noun<br>blackmail
αντιπροσωπευτικός	αντιπροσωπευτικός adjective<br>representative
θερμότητα	θερμότητα noun<br>heat, warmth<br>(physics) heat<br>(figuratively) warmth (of smile, welcome etc)
ειδοποιώ	ειδοποιώ verb<br>notify, inform
γούστο	γούστο noun<br>taste (person's implicit set of preferences)<br>(more specifically) good taste<br>(by extension) fun
ξεκουράζω	ξεκουράζω verb<br>rest (give rest to)
μελωδία	μελωδία noun<br>(music) melody, tune<br>(music) carol, tune
απεικόνιση	απεικόνιση noun<br>image, depiction, representation, portrayal
ταυτόχρονος	ταυτόχρονος adjective<br>simultaneous
τεκμήριο	τεκμήριο noun<br>evidence, argument, proof (in support of an assertion)<br>(law) evidence, testimony (in court)
ταξί	ταξί noun<br>taxi
αποδοτικός	αποδοτικός adjective<br>productive, efficient, profitable
ομολογία	ομολογία noun<br>(in general and law) confession, admission, avowal (open admittance of having done something)<br>(religion) profession, creed (reading or statement of belief that summarizes the faith it represents)<br>(economics) bond, debenture (documentary obligation to pay a sum or to perform a contract)<br>(biology, chemistry, genetics) homology (correspondences and relationships between various things)
καλωσορίζω	καλωσορίζω verb<br>welcome (a person)
φυλάκιση	φυλάκιση noun<br>confinement in prison, imprisonment
επάρκεια	επάρκεια noun<br>sufficiency, adequacy (quality of enough being available)<br>competency, proficiency (ability to do something well)
τραύμα	τραύμα noun<br>(medicine) wound, injury<br>(figuratively) blow, shock
βασίλειο	βασίλειο noun<br>kingdom (nation with a monarch)<br>(taxonomy, biology) kingdom (taxonomic division below Domain and above Phylum)
εθνικιστικός	εθνικιστικός adjective<br>nationalist<br>chauvinist
σκούρος	σκούρος adjective<br>dark (generally used with shades and colours)<br>(figuratively) tough; gloomy
μισώ	μισώ verb<br>hate
τουαλέτα	τουαλέτα noun<br>toilet, lavatory, wc (the room and the device in it)<br>dressing table<br>the process of washing yourself<br>dress
χάριν	χάριν preposition<br>thanks to (implies something positive)<br>for
σταγόνα	σταγόνα noun<br>drop, blob, drop
καλάθι	καλάθι noun<br>basket<br>(basketball) goal<br>(basketball) a target area for the ball
λίθος	λίθος noun<br>stone (building material)<br>(medicine) stone, calculus<br>(archaeology) stone
φιλάω	φιλάω verb<br>Alternative form of φιλώ (filó)
γεια	γεια interjection<br>hi, hello<br>bye<br>cheers, your health<br>bravo<br>Alternative form of υγεία (ygeía) (health)
σίδηρος	σίδηρος nounm<br>(chemistry) iron (chemical element)
δυνάμει	δυνάμει noun<br>inflection of δῠ́νᾰμῐς (dúnamis):
αόριστος	αόριστος adjective<br>vague<br>(grammar) indefinite<br>(grammar) preterite<br><br>αόριστος noun<br>(grammar) aorist, past tense, simple past, perfective past
παραγγέλλω	παραγγέλλω verb<br>(formal) order, pass on, send a message
έλεος	έλεος noun<br>mercy, compassion, pity<br>charity<br><br>έλεος interjection<br>enough!
κλέφτης	κλέφτης nounm<br>thief, stealer<br>(historical) klepht (member of an armed group of men who took refuge in the mountains, lived by stealing and fought against the Ottomans)
θρυλικός	θρυλικός adjective<br>legendary (of or pertaining to a legend)
καλώδιο	καλώδιο noun<br>(electricity) cable, flex, cord<br>(engineering) cable (used in construction of bridges, etc)
βούτυρο	βούτυρο noun<br>butter
στρώνω	στρώνω verb<br>(of beds or tables) make (put sheet on)<br>(of other areas) cover (with a sheet)<br>(of clothes) smooth out, removes creases from<br>(of roads, pavements) pave<br>(of carpets, flooring) lay
ανεπιθύμητος	ανεπιθύμητος adjective<br>unwanted, undesired, unwelcome
αεροπορία	αεροπορία noun<br>aviation<br>(military) air force
αφίσα	αφίσα noun<br>poster
επισκευή	επισκευή noun<br>repair
εμπορία	εμπορία noun<br>trade, trading<br>trafficking
σφραγίζω	σφραγίζω verb<br>seal (eg on a document)<br>close tightly<br>stamp (eg in a passport)<br>(dentistry) fill a tooth cavity with amalgam, etc
χριστουγεννιάτικος	χριστουγεννιάτικος adjective<br>Christmas (relating to the occasion)
ζεσταίνω	ζεσταίνω verb<br>warm, warm up, heat up<br>enliven, excite
επανειλημμένα	επανειλημμένα adverb<br>repeatedly
άλμα	άλμα noun<br>bound, leap, jump<br>(figuratively) spectacular progress
αποβολή	αποβολή noun<br>(education, athletics) expulsion<br>(medicine) miscarriage, spontaneous abortion
πλείστος	πλείστος adjective<br>(formal) many, most
π.μ.	π.μ. adverb<br>(time) Abbreviation of προ μεσημβρίας (pro mesimvrías). (ante meridiem)
φορητός	φορητός adjective<br>portable, portative<br><br>φορητός noun<br>a laptop computer
αλληλεπίδραση	αλληλεπίδραση noun<br>interaction, mutual influence
ψευδαίσθηση	ψευδαίσθηση noun<br>illusion, hallucination<br>(psychology) delusion
απέραντος	απέραντος adjective<br>vast, endless, boundless
υποχρεωτικά	υποχρεωτικά adjective<br>Nominative plural neuter form of υποχρεωτικός (ypochreotikós).<br>Accusative plural neuter form of υποχρεωτικός (ypochreotikós).<br>Vocative plural neuter form of υποχρεωτικός (ypochreotikós).
φίλτρο	φίλτρο noun<br>filter<br><br>φίλτρο noun<br>philtre, philter, charm, love potion<br>(synecdoche) love, especially parental love for child<br>(anatomy) philtrum, filtrum
σάλτσα	σάλτσα noun<br>sauce, salsa
συναφής	συναφής adjective<br>united, connected, related to
ακολουθία	ακολουθία noun<br>entourage, following, retinue<br>(mathematics) sequence<br>train<br>(religion) service
πολλαπλασιάζω	πολλαπλασιάζω verb<br>increase, multiply<br>(mathematics) multiply
διευθύντρια	διευθύντρια noun<br>(education) headmistress<br>manageress<br>director<br>governess
διαζύγιο	διαζύγιο noun<br>divorce (dissolution of a marriage)
κοντός	κοντός adjective<br>short (in height)<br><br>κοντός nounm<br>(formal) pole
καταιγίδα	καταιγίδα noun<br>(meteorology) thunderstorm, storm
τρίχα	τρίχα noun<br>(anatomy, biology) a single hair<br><br>τρίχα nounm<br>Genitive, accusative and vocative singular form of τρίχας (tríchas).
θεϊκός	θεϊκός adjective<br>divine, godlike
πυροβολώ	πυροβολώ verb<br>(intransitive) shoot, fire<br>(transitive) fire at, shoot at
συγχαίρω	συγχαίρω verb<br>congratulate<br>(literally) rejoice together with (rare)
σχεδιαστής	σχεδιαστής noun<br>designer, drawer, draughtsman
φίλαθλος	φίλαθλος adjective<br>(sports) loving sport<br>(sports) fan (in general or of a particular team)<br>(as a noun) person with these attributes
τάγμα	τάγμα noun<br>battalion (army unit)<br>religious order; a group living according to a set of rules<br>order of chivalry
κερί	κερί noun<br>wax, beeswax<br>candle, taper<br>earwax
μαλακός	μαλακός adjective<br>soft<br>meek, compliant<br>gentle, mild, mild mannered, mellow<br>(metallurgy) malleable
αήττητος	αήττητος adjective<br>unbeaten, undefeated, invincible
διάδοχος	διάδοχος adjective<br>successor (coming after the other in a series)<br><br>διάδοχος noun<br>successor (person or thing that immediately follows another in holding an office)<br>heir, heiress (someone who is designated to inherit the throne in monarchies)<br>(colloquial) firstborn son, eldest boy (in a family unit)
απεργιακός	απεργιακός adjective<br>strike
κοτόπουλο	κοτόπουλο noun<br>chicken, pullet<br>chicken meat
φεγγάρι	φεγγάρι noun<br>(uncountable) the Moon<br>(countable) moon (satellite, (lunar) month)<br>moonlight
επαναφέρω	επαναφέρω verb<br>reset, restore (to a previous state)
μαγειρικός	μαγειρικός adjective<br>culinary, cooking
μπακ	μπακ noun<br>(soccer) centre-back (player who plays in the centre of defence)
ανασκαφή	ανασκαφή noun<br>(archaeology) excavation
αγνός	αγνός adjective<br>pure, chaste, innocent<br>pure, undiluted
επεμβαίνω	επεμβαίνω verb<br>(transitive) interfere, intervene
ρύζι	ρύζι noun<br>rice
αθλήτρια	αθλήτρια noun<br>female athlete, sportswoman
ψυχαγωγία	ψυχαγωγία nounf<br>entertainment, recreation
φασίστας	φασίστας noun<br>(politics) fascist
κτηνοτρόφος	κτηνοτρόφος noun<br>stock farmer, stockman, stock breeder
ίππος	ίππος noun<br>horse<br>(chess) knight<br>(gymnastics) pommel horse<br>horsepower
σιγά-σιγά	σιγά-σιγά interjection<br>gradually, carefully, very slowly
μάρκα	μάρκα noun<br>make, brand<br>token (coin substitute)<br>gambling chip
ταλαιπωρία	ταλαιπωρία noun<br>hardship, suffering, trial (hard times)<br>(more generally) hassle, trouble, inconvenience
αναμφίβολα	αναμφίβολα adverb<br>undeniably
υψόμετρο	υψόμετρο noun<br>altimeter<br>altitude
εξαπολύω	εξαπολύω verb<br>unleash
προσιτός	προσιτός adjective<br>accessible, approachable, friendly (person)<br>accessible (location)<br>accessible, understandable (book, play, etc)<br>affordable (price)
τιμόνι	τιμόνι noun<br>(transport) steering wheel (of car), helm, tiller (of boat) (steering apparatus)<br>(nautical, by extension) helmsman (member of a ship's crew who is responsible for steering)
